k_mpc,mass_solar,variance,beta,f_pbh
1.45000000e+07,1.20000000e-02,5.56339778e-08,0.00000000e+00,0.00000000e+00
1.38037572e+07,1.32410562e-02,7.20423395e-08,0.00000000e+00,0.00000000e+00
1.31409456e+07,1.46104642e-02,9.29862098e-08,0.00000000e+00,0.00000000e+00
1.25099602e+07,1.61214981e-02,1.19627616e-07,0.00000000e+00,0.00000000e+00
1.19092726e+07,1.77888053e-02,1.53400159e-07,0.00000000e+00,0.00000000e+00
1.13374280e+07,1.96285476e-02,1.96065448e-07,0.00000000e+00,0.00000000e+00
1.07930416e+07,2.16585585e-02,2.49779489e-07,0.00000000e+00,0.00000000e+00
1.02747948e+07,2.38985159e-02,3.17170346e-07,0.00000000e+00,0.00000000e+00
9.78143261e+06,2.63701328e-02,4.01428497e-07,0.00000000e+00,0.00000000e+00
9.31176003e+06,2.90973675e-02,5.06411346e-07,0.00000000e+00,0.00000000e+00
8.86463960e+06,3.21066566e-02,6.36763401e-07,0.00000000e+00,0.00000000e+00
8.43898843e+06,3.54271705e-02,7.98053614e-07,0.00000000e+00,0.00000000e+00
8.03377565e+06,3.90910964e-02,9.96931349e-07,0.00000000e+00,0.00000000e+00
7.64801987e+06,4.31339504e-02,1.24130233e-06,0.00000000e+00,0.00000000e+00
7.28078683e+06,4.75949219e-02,1.54052577e-06,0.00000000e+00,0.00000000e+00
6.93118713e+06,5.25172531e-02,1.90563358e-06,0.00000000e+00,0.00000000e+00
6.59837406e+06,5.79486584e-02,2.34957238e-06,0.00000000e+00,0.00000000e+00
6.28154160e+06,6.39417871e-02,2.88746839e-06,0.00000000e+00,0.00000000e+00
5.97992240e+06,7.05547332e-02,3.53691486e-06,0.00000000e+00,0.00000000e+00
5.69278598e+06,7.78515991e-02,4.31828121e-06,0.00000000e+00,0.00000000e+00
5.41943691e+06,8.59031167e-02,5.25504176e-06,0.00000000e+00,0.00000000e+00
5.15921317e+06,9.47873332e-02,6.37412171e-06,0.00000000e+00,0.00000000e+00
4.91148454e+06,1.04590367e-01,7.70625644e-06,0.00000000e+00,0.00000000e+00
4.67565102e+06,1.15407245e-01,9.28635928e-06,0.00000000e+00,0.00000000e+00
